step,velocity_loss,stress_loss
10,8.746772,
11,5.2885537,
12,5.4213367,
13,4.942027,
14,4.916569,
15,4.7743707,
16,4.306774,
17,4.4379263,
18,4.2483706,
19,4.468729,
20,4.0825934,
21,4.3170195,
22,4.1296663,
23,3.855611,
24,3.658474,
25,3.7463486,
26,4.128835,
27,4.041711,
28,3.8957436,
29,3.5514767,
30,3.7411761,
31,8.803896,
32,5.702277,
33,3.680909,
34,4.4074097,
35,6.657714,
36,3.3048801,
37,3.1019197,
38,3.1914754,
39,3.7888136,
40,4.6733913,
41,3.6413686,
42,3.20823,
43,4.3246694,
44,3.2344477,
45,3.2773528,
46,3.045874,
47,2.9144607,
48,2.6835325,
49,9.434556,
50,4.5859475,
51,2.519998,
52,2.8388813,
53,2.6803908,
54,2.8809345,
55,2.7252486,
56,2.831637,
57,3.6027722,
58,2.8832326,
59,2.8031254,
60,2.3434,
61,1.959483,
62,2.0623503,
63,2.3477323,
64,2.5752413,
65,2.50011,
66,2.0717235,
67,5.5253515,
68,2.2241948,
69,2.878304,
70,3.0185976,
71,2.8657806,
72,2.0695574,
73,1.6382151,
74,1.7684453,
75,1.6095033,
76,1.864104,
77,1.9096091,
78,2.0337973,
79,1.5083724,
80,1.5318711,
81,1.7933986,
82,1.8059313,
83,1.8859692,
84,1.5698323,
85,2.048046,
86,1.5842009,
87,2.032105,
88,1.5939162,
89,6.3991995,
90,1.4990183,
91,1.5597192,
92,1.7160385,
93,1.3603892,
94,1.6714139,
95,1.2373036,
96,1.4304711,
97,1.5702289,
98,1.4974006,
99,1.5681874,
100,1.3746413,
101,1.2368659,
102,1.2186543,
103,1.5389379,
104,1.3727096,
105,1.0877888,
106,1.0958946,
107,1.1752257,
108,1.34785,
109,1.1883657,
110,1.2295598,
111,0.90221035,
112,1.0453542,
113,1.1928443,
114,1.3707081,
115,1.4372798,
116,2.8073347,
117,1.2478402,
118,1.5433208,
119,1.3815287,
120,0.9387157,
121,1.8874832,
122,1.0181335,
123,1.4818062,
124,1.2533478,
125,0.88314486,
126,1.0416739,
127,1.1963719,
128,1.506129,
129,1.8282124,
130,1.0105953,
131,1.3638095,
132,4.3264627,
133,1.171489,
134,1.2034484,
135,1.1909187,
136,1.0886672,
137,1.0002546,
138,1.2246596,
139,1.3092608,
140,1.0776032,
141,1.9232179,
142,1.0254939,
143,1.6212809,
144,1.51172,
145,1.1734797,
146,1.0825187,
147,1.0322053,
148,1.7873442,
149,1.9371334,
150,1.4613577,
151,1.3827592,
152,1.06095,
153,1.0020716,
154,0.9368815,
155,1.0096223,
156,1.8229085,
157,1.0447398,
158,1.0229324,
159,0.9743074,
160,1.1264702,
161,1.1268817,
162,3.4898324,
163,1.2002244,
164,1.2510498,
165,0.8416714,
166,1.1761378,
167,1.0114175,
168,1.589044,
169,0.99330765,
170,1.0008521,
171,1.1318849,
172,1.0783349,
173,1.0141641,
174,1.0028887,
175,1.2819469,
176,0.9311579,
177,1.0652933,
178,1.2081095,
179,0.91082215,
180,1.2972237,
181,1.065389,
182,1.268522,
183,1.2347262,
184,1.1460109,
185,0.8176275,
186,0.8884238,
187,0.9063851,
188,1.3754307,
189,0.94126546,
190,1.0117416,
191,1.0574807,
192,1.2241514,
193,0.89742017,
194,1.1532586,
195,1.0170101,
196,0.9529208,
197,1.2390845,
198,1.2608856,
199,1.0630918,
200,1.0226824,
201,3.2408023,
202,2.989159,
203,1.5389811,
204,2.295448,
205,2.325622,
206,1.5933406,
207,1.4490994,
208,1.1586573,
209,1.014637,
210,1.3208855,
211,1.5226614,
212,4.8812413,
213,1.2838817,
214,2.390273,
215,0.8277897,
216,0.983752,
217,1.0097053,
218,7.829141,
219,0.8044851,
220,0.71749467,
221,0.7552192,
222,1.0358471,
223,30.281485,
224,1.1703535,
225,1.4233619,
226,1.1808422,
227,0.9614404,
228,0.93334293,
229,0.9214748,
230,1.0422734,
231,0.8940086,
232,1.0078009,
233,0.87334156,
234,0.92091256,
235,1.3608825,
236,1.2697872,
237,0.946951,
238,1.2205646,
239,5.0432267,
240,1.0071796,
241,0.84138995,
242,0.94347334,
243,0.9431686,
244,1.1922082,
245,0.9576262,
246,1.1201454,
247,1.0484561,
248,0.8714753,
249,0.9392219,
250,1.2878512,
251,0.82386756,
252,0.91745543,
253,0.9731747,
254,1.4143369,
255,0.87452227,
256,5.9514594,
257,0.89899176,
258,1.1374626,
259,0.87950253,
260,1.152539,
261,1.0025542,
262,0.93707836,
263,0.91373664,
264,1.0243901,
265,1.3362845,
266,1.5107378,
267,1.0015504,
268,0.7951145,
269,1.039629,
270,0.8191585,
271,1.0233109,
272,2.772135,
273,0.79810345,
274,0.7540924,
275,0.81083685,
276,0.7808597,
277,0.97808975,
278,0.83865774,
279,0.81971836,
280,0.68247324,
281,0.7250898,
282,1.0378048,
283,0.98112464,
284,0.69780636,
285,1.0756687,
286,5.9220214,
287,3.2457094,
288,0.8318763,
289,0.63551706,
290,1.0337206,
291,0.69099957,
292,0.93303853,
293,0.95939434,
294,0.9652545,
295,0.75525963,
296,0.9163152,
297,0.8751296,
298,0.72304934,
299,15.677127,
300,0.9104577,
301,0.85977006,
302,0.97365296,
303,1.0765517,
304,0.74280006,
305,1.1645906,
306,2.583143,
307,1.3907576,
308,3.3737767,
309,1.1443876,
310,1.3381746,
311,0.86855906,
312,5.541515,
313,2.701097,
314,7.0419884,
315,6.016482,
316,4.0308423,
317,7.05056,
318,0.91916937,
319,0.92167896,
320,0.93464196,
321,0.75208825,
322,1.0313935,
323,5.1529055,
324,0.81068105,
325,1.2581136,
326,0.8095403,
327,0.9408923,
328,1.1086787,
329,1.313504,
330,0.6425594,
331,0.97436506,
332,0.8166199,
333,1.1408203,
334,0.7638208,
335,0.8225049,
336,0.94888353,
337,1.2787572,
338,0.70995426,
339,0.65217656,
340,1.0545266,
341,0.8973203,
342,1.247159,
343,1.1306885,
344,3.0993536,
345,0.9985196,
346,0.87343425,
347,0.76136094,
348,0.8479588,
349,0.9230016,
350,0.85433877,
351,0.8028221,
352,0.6292814,
353,5.014746,
354,0.9034013,
355,0.8231527,
356,1.0330336,
357,0.669178,
358,0.7642336,
359,0.5763585,
360,0.6857014,
361,0.87797445,
362,0.70160735,
363,0.94519323,
364,1.0354998,
365,0.8403294,
366,0.61738604,
367,0.6869,
368,0.6881503,
369,0.84492904,
370,0.8048423,
371,1.0813309,
372,0.8174802,
373,1.22345,
374,0.6644125,
375,0.81567454,
376,0.7605439,
377,0.7336133,
378,0.86264545,
379,0.9344555,
380,1.3304989,
381,0.904979,
382,0.9633751,
383,0.76129794,
384,0.9395067,
385,0.8096044,
386,1.0675465,
387,0.65414417,
388,0.83293575,
389,0.7865325,
390,0.65258926,
391,1.1998242,
392,0.81817865,
393,0.67551625,
394,0.7625042,
395,0.82812285,
396,7.078952,
397,0.8883754,
398,1.1189705,
399,0.77728605,
400,0.7866923,
401,0.9320975,
402,0.8544117,
403,0.80940837,
404,0.9040653,
405,1.080746,
406,0.71089023,
407,0.8240431,
408,0.77073973,
409,1.0438049,
410,0.75049466,
411,0.5981695,
412,1.188495,
413,3.547781,
414,1.0717387,
415,0.9655365,
416,0.78583574,
417,0.7428763,
418,0.8729451,
419,0.8403869,
420,1.0856744,
421,0.5329487,
422,1.0123186,
423,0.5820288,
424,0.61622125,
425,0.7165147,
426,0.6022235,
427,0.9058068,
428,0.789609,
429,1.1050606,
430,0.5567771,
431,1.1142989,
432,0.6316078,
433,0.6764179,
434,0.75276184,
435,0.58680475,
436,0.966402,
437,0.6752552,
438,0.75751024,
439,5.848514,
440,0.94665956,
441,0.7543187,
442,1.0301408,
443,0.78044224,
444,0.9688686,
445,0.99094486,
446,0.779932,
447,0.6203219,
448,6.48535,
449,0.9041455,
450,1.043927,
451,1.0054643,
452,0.7595044,
453,0.67398596,
454,0.79435873,
455,0.80345935,
456,1.7421758,
457,5.8886204,
458,1.5831897,
459,2.005628,
460,2.2225163,
461,1.6358142,
462,1.7940886,
463,1.1303052,
464,29.311857,
465,0.99355334,
466,0.9983004,
467,1.0457913,
468,1.2049441,
469,1.0601933,
470,1.0297567,
471,0.8844574,
472,0.8198794,
473,0.75789523,
474,0.65490866,
475,1.2980778,
476,0.9622337,
477,1.0452019,
478,1.3456852,
479,0.9681012,
480,1.1806308,
481,0.9882582,
482,0.8632384,
483,1.4579029,
484,0.7810542,
485,3.619063,
486,0.93360883,
487,1.0286392,
488,1.1072273,
489,0.76728183,
490,0.720005,
491,0.85225445,
492,1.1908195,
493,1.4688753,
494,1.0145166,
495,1.137729,
496,0.7377711,
497,0.795443,
498,0.8157903,
499,0.69852644,
500,0.6708065,
501,1.2038063,
502,0.9381925,
503,0.94657296,
504,4.159977,
505,0.8538243,
506,1.6144834,
507,0.86000174,
508,1.6069187,
509,0.8048379,
510,0.85121375,
511,0.71900505,
512,0.7044153,
513,0.8131816,
514,1.142515,
515,0.66303414,
516,0.9746674,
517,0.94221675,
518,0.7859371,
519,0.9516423,
520,0.7529511,
521,0.9399909,
522,0.7658037,
523,7.8147926,
524,0.693074,
525,0.71108985,
